标题,链接,日期,正文
上海徐汇区：举行“霓虹哨兵”第七期军地青年联谊活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535441.html,2026-03-27,"上海徐汇区：举行“霓虹哨兵”第七期军地青年联谊活动
春风暖滨江，智慧结良缘。近日，由上海警备区政治工作局、上海市妇联主办的“霓虹哨兵”第七期军地青年联谊活动在上海徐汇滨江温情启幕。
智联心意，AI牵良缘。本次活动主打“科技+浪漫”，全程融入数字智能化巧思，打造高效、温馨、时尚的交友新场景。“AI签到、智能互联”环节迅速点燃青年们的参与热情，嘉宾们入场即可完成身份核验和信息匹配。机器狗全程带路，机器人“小寻和小蜜”迎宾，机器人CP带来的才艺秀逗笑全场，这些“特殊嘉宾”伴随着音乐翩翩起舞，与男女嘉宾互动模仿；在缘分速配表白环节，一些羞涩的男女嘉宾通过“AI上上缘”匿名发动心动信号，用科技为缘分“加速”。
以诚相连，为爱破冰。“滴——”奇遇小火车心动启程！原本陌生拘谨的男女嘉宾，在这趟专属旅程里互动游戏、相视一笑，缘分的种子悄悄生根发芽。秘境寻宝号角吹响……男女嘉宾组队解锁层层关卡，探索路上并肩同行，心与心越靠越近。蓦然回首，原来最好的宝藏，就是身边的你。咔嚓！比心打卡成功。原本尬聊害羞的男女嘉宾，此刻默契同框花式比心。镜头前的笑容藏不住，指尖的爱意甜度爆表，拘束感原地清零。红娘管家全程护航，是本期活动的鲜明特色。主办方为每组嘉宾配备一对一“红娘”，“神助攻”实时在线，军人的刚毅赤诚与地方女孩的温婉知性自然碰撞。有了红娘的贴心陪伴，青年们逐渐敞开心扉，尴尬困境迎刃而解。活动现场，军队男嘉宾代表和机器人轮番上台进行才艺展示，军绿色元素与节日装饰相映成趣，科技感与甜蜜感完美交融。在专属红娘的引导下，军地青年积极参与AI互动闯关、同心游戏、滨江漫步等环节，大家分享军营热血故事，畅谈职场巾帼担当，欢声笑语回荡在滨江两岸。
霓虹有约，真情告白。现场搭载智慧交友系统，通过AI大数据精准分析嘉宾兴趣爱好、价值理念，提前完成最优匹配。AI互动大屏实时呈现趣味标签与心动数据，嘉宾扫码即可快速解锁彼此信息，情感互动体验等智能环节设置，以数字化形式搭建起沟通的桥梁，让军地青年心与心的交流更高效、更具现代感。活动现场，主持人邀请男女嘉宾登场，分享彼此怦然心动的瞬间，双向奔赴的美好情愫在此刻蔓延。夕阳西下，党群服务中心“水岸讲堂”内，活动氛围被推向高潮。最为激动人心的“大声告白”环节正式开始。在主持人的鼓励下，男嘉宾一扫平时的羞涩，大声说出“爱的宣言”。朴实而深情的话语，赢得全场阵阵掌声和欢呼。
活动尾声，评选出“最佳CP”与“最佳战队”，现场20对青年男女成功牵手，迈出相识相知的第一步。现场成功率达四成，创下近年军地联谊活动新高。不少家长反馈，“霓虹哨兵”联谊活动已成为沪上军地青年交友品牌，组织方和人选十分靠谱，孩子参加很是放心。成功牵手的青年们互赠礼物，在浦江春色中定格美好瞬间。这一刻，国防绿与淑女装交相辉映，共绘浦江最美风景。看到牵手成功的嘉宾脸上洋溢着幸福的笑容，主持人和爱情管家齐刷刷为丰硕成果点赞。
上海警备区少将副政委向在场青年致以美好祝福，他表示，军人守护国家安宁，组织守护官兵幸福。此次活动既是落实中央文件精神的具体行动，也是军地同心、拥军优属的生动实践，希望青年们敞开心扉、真诚交流，遇见知己、收获幸福。
此次活动由徐汇区人武部、上海警备区徐汇离职干部休养所、上海警备区长宁第一离职干部休养所、徐汇区退役军人事务局联合承办，将数字化服务与传统联谊深度融合，近百名军地青年齐聚一堂，这场科技赋能的春日之约，在热烈掌声中圆满收官。本次活动是徐汇区探索“科技+双拥”新模式的亮眼呈现。上海警备区将携手军地，进一步创新双拥工作载体，让科技驱动与人文关怀双向发力，为军地优秀青年搭建更多更好沟通桥梁，让双拥之花持续绽放。"
内蒙古准格尔旗：举办2026年度春季入伍新兵“入伍即就业”签订仪式,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535439.html,2026-03-27,"内蒙古准格尔旗：举办2026年度春季入伍新兵“入伍即就业”签订仪式
春风拂过大地，暖意浸润人心。内蒙古自治区鄂尔多斯市准格尔旗退役军人事务局举行新兵“入伍即就业”签订仪式及家长座谈会，以硬核保障护航青春报国之路，以暖心服务厚植崇军尚武情怀，让参军报国的理想与安稳踏实的保障双向奔赴。
座谈会上准格尔旗退役军人事务局、准格尔旗人武部向即将踏入军营的准格尔青年致以最真挚的祝福，向全力支持子女参军的家长致以最崇高的敬意。准格尔旗“入伍即就业”机制彰显了军地同心、服务官兵的坚定决心，为新兵安心服役、建功军营注入强大信心与力量。内蒙古瑞鸿清洁能源有限责任公司、内蒙古东华能源有限责任公司、内蒙古玉晶科技有限公司、内蒙古易高煤化科技有限公司等本土优质企业依次亮相，企业代表详细介绍发展规模、产业优势、岗位设置与完善的薪资保障体系。优厚的待遇、广阔的平台，为新兵退役返乡铺就坚实的就业之路，解除后顾之忧。
入伍新兵依次走上台前，郑重签下“入伍即就业”协议。互动答疑环节有序开展，工作人员与企业代表面对面细致解答新兵及家长关切的问题，将政策讲清、将保障讲明，让每一位参与者都心中有底、前路明朗。
军地携手筑保障，就业护航励兵心。此次活动既是准格尔旗拥军优属工作的创新实践，也是服务国防、关爱军人的务实举措。报国无需忧前路，返乡亦有好前程，愿准格尔新兵带着这份温暖与笃定奔赴军营，执戈卫国、砺剑强军，荣归之时再赴家乡发展新征程。"
湖南望城：“梦想书屋”点亮困境儿童成长之路,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535437.html,2026-03-27,"湖南望城：“梦想书屋”点亮困境儿童成长之路
近日，追锋筑梦·志愿同行——2026年第一季“善暖春风”公益活动暨10间“梦想书屋”建设启动仪式在湖南省长沙市望城区正兴文苑举行。本次活动由湖南省退役军人服务中心、长沙市退役军人事务局、望城区退役军人事务局、望城区民政局指导，长沙市望城区退役军人兵锋志愿服务队主办，以公益行动传承雷锋精神，为辖区困境儿童点亮书香成长之路。
活动在一场满载精神传承的火炬传递中拉开帷幕。青年志愿者手持“追锋火炬”，从梅十线路口出发，以接力奔跑的形式，将象征志愿薪火与雷锋精神的火炬传递至活动主会场正兴文苑。沿途群众纷纷驻足致意，一程程接力，让雷锋精神一路播撒，为这场公益活动拉开温暖序幕。
活动中最温馨感人的一幕莫过于“梦想书屋”的授牌仪式。今年，由望城区退役军人事务局牵头、区民政局出资，将在全区范围内新建10间“梦想书屋”。书屋分布在铜官街道、高塘岭街道、乌山街道、茶亭镇。这些书屋将为孩子们配备崭新的床、衣柜、书桌、台灯和书籍，成为他们筑梦的港湾。活动现场为书屋授牌、授钥匙，向16名困境儿童发放了爱心助学金和学习用品。
作为雷锋家乡的老兵品牌，望城区退役军人兵锋志愿服务队自2021年发起“梦想书屋”项目以来，已累计为偏远地区的困境儿童建成了64间专属“梦想书屋”，各类助学活动惠及300余名孩子。“此次活动不仅是一次爱心的汇聚，更是望城退役军人践行雷锋精神、投身志愿服务的生动实践。”望城区退役军人兵锋志愿服务队队长朱亚杰表示，服务队将继续践行雷锋精神，以“火炬”为媒，以“书屋”为载体，切实将社会的温暖送到困境儿童心坎上。"
福建：开展义务植树活动,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535435.html,2026-03-27,"福建：开展义务植树活动
春回大地，万物复苏，正是植树添绿的好时节。3月13日上午，福建省退役军人事务厅组织厅机关和在榕直属单位干部赴永泰县葛岭镇大湖林场开展“植此青绿展风采，奋勇争先显担当”义务植树活动。厅党组书记、厅长罗庆春和厅机关各处室、直属单位负责人及干部职工代表一同参与，以实际行动助力擦亮“清新福建”生态名片。
植树现场春光明媚，参与人员热情似火、干劲冲天。大家三人一组，分工协作、默契配合。他们挥锹铲土，动作娴熟有力；扶苗培土，姿态认真专注；提桶浇水，动作细致入微。每一个环节都严谨细致、有条不紊，充分展现了退役军人事务系统干部严谨务实的工作作风和团结协作的精神风貌。
经过近一个小时的辛勤劳作，几十株乡土树种迎风挺立，在葛岭镇的青山间勾勒出一道生机盎然的生态屏障，为春日增添了一抹鲜活绿意。此次义务植树活动，将生态文明实践与思想教育深度融合。参与人员纷纷表示，通过这次义务植树活动，自身生态文明意识进一步增强，收获颇丰。在今后的工作和生活中，将继续深入践行习近平生态文明思想，以更加饱满的热情参与各类精神文明志愿服务活动，积极投身美丽福建建设。"
陕西西安：召开2026年度军休工作会,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535433.html,2026-03-27,"陕西西安：召开2026年度军休工作会
3月17日，2026年度陕西省西安市军休工作会在市军休中心召开，西安市军休工作人员、协会负责人、军休党支部书记500余人参会。会议传达了部、省、市退役军人工作会议精神，全面总结2025年工作、安排部署了2026年工作。
会议指出，2026年是“十五五”开局之年，是推动军休工作高质量发展的奋进之年，全市军休系统要开拓创新、担当作为，用心用情用力做好服务管理工作，全力推动军休工作高质量发展取得新进展新成效。
会议强调，全市军休系统要全面贯彻习近平总书记关于退役军人工作的重要论述和重要指示批示精神，聚焦“五好”目标要求，坚持稳中求进工作总基调，加强思想政治引领，夯实服务保障根基，丰富军休精神文化，激励军休作用发挥，有效实现服务管理全覆盖，着力推动军休工作信息化、标准化、社会化发展，不断提升服务管理的质量水平。"
安徽霍山：举行“纪念碑下的思政课”,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535430.html,2026-03-27,"安徽霍山：举行“纪念碑下的思政课”
为充分发挥烈士纪念设施铸魂育人功能，推动红色教育走深走实，近日，在安徽省六安市霍山县烈士陵园举行“赓续霍山英烈志·铸就红色精神魂”——“纪念碑下的思政课”启动仪式。霍山县委组织部、县人武部、县退役军人事务局等单位及新录用警察、预定新兵等近1000人同上一堂课。
仪式现场庄严肃穆，全体人员齐唱国歌，向革命烈士敬献花篮，深情缅怀革命先烈的不朽功勋。红色宣讲员现场授课，用霍山英烈事迹作为鲜活教材，开展沉浸式、体验式教学，让在场人员接受深刻的思想洗礼。
活动中，县人武部组织预定新兵开展义务植树活动，以实际行动践行初心使命；同时还组织公安民警和新兵认真擦拭烈士墓碑、清理墓区环境，以质朴方式寄托对先烈的哀思与敬意。
据了解，“纪念碑下的思政课”由霍山县退役军人事务局牵头，联合县委组织部、县委宣传部等多家单位实施，利用新兵入伍、中小学爱国主义教育、新任公务员培训等关键节点，依托县烈士陵园、霍山红色区域中心纪念馆等红色教育阵地，开展现场教学，讲述革命先烈事迹，传承红色基因，着力构建全周期、全覆盖的大思政教育体系，不断增强思政教育的感染力、鲜活性和实效性，让红色基因在霍山代代相传。"
北京：冰河纵身救生命 初心不改显担当,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535427.html,2026-03-27,"北京：冰河纵身救生命 初心不改显担当
近日，北京市房山区退役军人事务局同志前往区烟草专卖局，看望慰问近日勇救落水群众的退役军人马刚同志，表达组织的关怀与温暖。
马刚，男，1977年出生，北京房山人，中共党员，1996年12月入伍，服役于武警上海总队某部，其间先后担任副班长、一级士官，因表现突出，两次荣获“优秀士兵”称号，并获嘉奖一次，于2001年12月光荣退役。现为房山区烟草专卖局（公司）营销网建科客户经理。
2月25日下午，马刚驾车返家途经琉璃河大桥，因交通拥堵下车徒步上前查看情况。就在他行至古桥中央时，突然发现一名年轻女子从新桥坠入河中。作为有着27年党龄的退役军人，马刚没有片刻迟疑，立刻向新桥方向冲去，边跑边脱下棉服、鞋子和裤子，纵身跳入第一道浅桥洞，在淤泥中奋力爬行至桥墩处，随即跃入冰冷刺骨的河水中实施救援。河水瞬间没过马刚头顶，他不顾个人安危，奋力游至落水女子身旁，抓住她的衣领，托住其颈部和膝弯，向浅水区转移。冰冷的河水持续消耗马刚的体力，但他始终护住女子，不敢有丝毫松懈。抵达浅水区时，他已体力透支、四肢僵硬，无法将人抱起，便改用膝盖撑地，在河水和淤泥中跪行前进。随后，派出所民警和热心群众赶到，众人合力将女子安全抬上岸。看到女子被妥善照料，马刚默默整理好衣物，悄然离开现场，未留下姓名，也未向任何人提及此事，继续投入日常工作。直到2月28日，有热心居民通过12313烟草市场监管服务热线提出表扬，这桩感人事迹才为更多人所知。马刚以无言的善举践行了共产党员的初心使命，彰显了退役军人“若有战、召必回、若有难、我必上”的铮铮本色。
马刚退役后，始终扎根房山烟草基层一线，曾获评房山区直机关优秀共产党员，是同事眼中实干担当的标杆。他将军人的纪律意识和奉献精神融入日常工作，赢得广泛赞誉。在“23·7”极端强降雨期间，他第一时间统计受灾零售户情况，参加单位组织的党员先锋队提供志愿服务，还利用休息时间自发前往受灾户家中，帮助清理店铺、抢救物资，助力恢复生产经营，用实际行动诠释责任与担当。"
四川：发挥老战士示范引领作用 提升退役军人工作宣传质效,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535425.html,2026-03-27,"四川：发挥老战士示范引领作用 提升退役军人工作宣传质效
为充分发挥革命伤残军人、抗美援朝老战士在红色传承、国防教育、征兵宣传中的独特作用，四川省革命伤残军人休养院组织95岁高龄抗美援朝一级伤残军人、全国模范退役军人涂伯毅同志参与2026年春季新兵入伍欢送活动，以英雄事迹激励青年官兵，以红色精神凝聚社会共识，取得良好政治效果、社会效果和宣传效果。
精心组织实施，让英雄精神走进新兵军营
涂伯毅老战士作为抗美援朝战争亲历者、全国模范退役军人，始终坚守初心、心系国防。在2026年春季新兵入伍欢送仪式上，涂伯毅老战士精神矍铄、庄重嘱托，以“平时多流汗，战时少流血”“困难是弹簧，你强它就弱”的朴实话语，勉励新兵坚定信念、苦练本领、报效祖国。
为了把老战士作用发挥好，休养院党委高度重视，提前与驻地人武部、退役军人事务局联系沟通、精心策划，周密组织实施。在具体工作中，坚持政治引领、安全优先、保障到位原则，派出优质医疗护理团队和工作人员，全程做好医疗陪护、行程保障、现场组织等工作，确保活动庄重有序、感染力强，充分展现伤残军人“身残志坚、忠诚向党”的崇高品格，让新兵在入伍第一课就接受深刻的红色教育和精神洗礼。
聚焦主流媒体，掀起致敬人民子弟兵宣传热潮
为了让老战士的爱国情怀、高尚品格在全国发挥教育影响作用，院党委提前与国防时报协调沟通，策划宣传方式、主题内容及宣传渠道，提前做好充分准备。在国防时报的大力支持下，中央、省、市各级主流媒体高度关注和集中报道，形成全方位、立体化、多平台宣传矩阵，传播数据亮眼、社会反响热烈。
中央级权威媒体集中刊发。央视新闻、人民日报客户端、“中国退役军人”（退役军人事务部官方平台）、中国军网、国防时报等集中报道，国防时报抖音短视频播放量超320万次，全网营造“崇尚英雄、学习英雄、关爱英雄”的浓厚氛围。
省级及行业媒体重点推送。四川省退役军人事务厅官网、四川发布、四川观察等同步报道，省级新媒体矩阵累计阅读量超150万。
新媒体平台广泛传播。活动相关内容在抖音、微博、今日头条、视频号等迅速传播，“95岁抗美援朝老战士为新兵壮行”等话题阅读量突破2300万，登上多地热搜榜单，全网综合曝光量超3000万人次。
突出作用发挥，彰显退役军人工作时代价值
此次活动既是一次生动的国防教育，也是休养院推动退役军人作用发挥的具体实践，更展示了贯彻落实习近平总书记重要回信精神的实际成效。一是彰显了优抚事业单位政治功能。把集中供养、医疗保障与红色传承、国防动员深度融合，让英雄从“被服务对象”转变为“红色教育主力军”。二是放大了典型示范引领效应。以涂伯毅老战士为代表的伤残军人群体，成为双拥工作、爱国主义教育、国防教育的“活教材”。三是提升了退役军人工作美誉度。通过权威媒体广泛传播，进一步营造了崇尚英雄、学习英雄、关爱英雄的浓厚社会氛围。
下一步，四川省革命伤残军人休养院将持续深化老战士作用发挥机制，不断提升退役军人工作宣传质效。建强红色宣讲品牌，常态化组织老战士走进部队、校园、机关、社区，持续开展国防教育和红色宣讲。深化典型宣传挖掘，联动主流媒体推出系列深度报道，讲好荣军故事、英雄故事、退役军人故事。完善服务保障体系，用心用情做好伤残军人供养护理、健康保障和精神关怀，让老英雄安享尊崇、再立新功。推动成果转化运用，将老战士精神力量转化为推动优抚事业高质量发展、服务国防和军队建设的强大动力。"
山西：服务退役军人转型发展迈出新步伐,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535422.html,2026-03-27,"山西：服务退役军人转型发展迈出新步伐
为认真落实山西省委、省政府关于实施人才强省的决策部署，3月18日，山西省退役军人事务厅与山西工程科技职业大学、山西文化旅游职业大学两所院校签署合作共建退役军人教育培训基地协议，并为“退役军人教育培训基地”揭牌，标志着该省政校合作服务退役军人转型发展、赋能成才迈出了新步伐。
政校合作设立退役军人教育培训基地，旨在提升退役军人综合素质、职业技能和就业竞争力，搭建起集退役军人学历教育、技能培训、就业指导、创业孵化、政策研究、社会服务于一体的综合性平台，助力全省退役军人顺利实现角色转换、能力提升和职业发展。
下一步，山西省退役军人事务厅将加强与山西工程科技职业大学和山西文化旅游职业大学的合作，以退役军人教育培训基地为载体，以促进退役军人就业创业为目标，组织开展各类教育培训活动，努力将基地建设成为区域内有特色、有影响、有示范效应的退役军人人才培养高地、政策研究智库和终身学习基地，打造政校合作、协同育人的典范，为全省退役军人工作高质量发展注入新动能。"
河北：召开2026年全面从严治党和党风廉政建设工作会议,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535420.html,2026-03-27,"河北：召开2026年全面从严治党和党风廉政建设工作会议
3月19日，河北省退役军人事务厅召开2026年全面从严治党和党风廉政建设工作会议。会议深入学习贯彻习近平总书记在二十届中央纪委五次全会上的重要讲话精神，全面落实省纪委十届六次全会和省政府第四次廉政工作会议要求，认真总结去年以来全面从严治党和党风廉政建设工作，安排部署下一阶段任务，为推动全厅各项工作高质量发展，实现“十五五”良好开局提供坚强政治保障。厅党组书记、厅长李龙出席会议并讲话，省纪委监委驻厅纪检监察组组长、党组成员常明提出具体要求，厅党组成员、副厅长刘利臻、张擒豹出席会议。
会议指出，去年以来，全厅各级党组织坚决贯彻党中央及省委关于全面从严治党的各项部署，深入推进党风廉政建设和反腐败斗争，营造了风清气正的良好政治生态，推动全省退役军人工作走在前列。
会议强调，今年是“十五五”开局之年，要深入学习贯彻习近平总书记重要讲话精神，扎扎实实开展树立和践行正确政绩观学习教育，严格落实“立党为公、为民造福、科学决策、真抓实干”总要求，一体推进学查改，引导党员、干部为人民出政绩、以实干出政绩，努力创造经得起实践、人民、历史检验的实绩。坚决落实全面从严治党战略部署，强化政治建设，持续正风肃纪，健全防控机制，锲而不舍落实中央八项规定精神，持之以恒打造廉洁机关、廉洁队伍，把严的基调、严的措施、严的氛围长期坚持下去，一体推进“三不腐”，以管党治党新成效凝聚推进事业发展的磅礴力量，为奋力推动全省退役军人工作开创新局面提供坚强保证。
会上播放了警示教育专题片，印发了《警示案例汇编》。
厅二级巡视员、机关全体干部、省纪委监委驻厅纪检监察组全体人员、厅直属事业单位班子成员参加会议。"
广西上林：举办“春风行动”退役军人专场招聘会,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535418.html,2026-03-27,"广西上林：举办“春风行动”退役军人专场招聘会
为切实做好退役军人及家属就业帮扶工作，助力退役军人实现稳定就业、高质量就业，近日，广西壮族自治区南宁市上林县退役军人事务局举办“春风行动·就业援助季”退役军人专场就业招聘会，以实际行动为退役军人送上就业“春风”，筑牢就业保障防线。
本次招聘会精准聚焦退役军人及家属就业需求，精心筹备、周密部署，搭建起用工单位与求职群体的双向奔赴桥梁。活动现场氛围热烈、人头攒动，求职群众有序咨询、交流洽谈，工作人员全程提供贴心服务，确保活动有序高效开展。
此次“春风行动·就业援助季”退役军人专场招聘会，既是上林县退役军人事务局践行“以退役军人为中心”工作理念的具体举措，也是落实稳就业、保就业工作要求的实际行动。活动有效打通了退役军人就业服务“最后一公里”，为退役军人及家属提供了便捷、高效的就业对接服务，进一步拓宽了退役军人就业渠道，得到了求职群众和用工单位的一致好评。
据统计，本次招聘会共组织招聘企业50多家进场，提供就业岗位1000多个，其中面向退役军人招聘岗位100多个，初次达成就业意愿30多人，发放宣传资料100多份。
下一步，上林县退役军人事务局将持续聚焦退役军人就业创业需求，不断丰富就业服务形式、拓宽就业渠道、强化政策落实，常态化开展就业招聘、技能培训、政策宣讲等活动，切实为退役军人及家属排忧解难，助力更多退役军人实现就业梦想、建功新时代。（文/李茂勇）"
吉林东丰：举办2026年退役军人和军属招聘会,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535416.html,2026-03-27,"吉林东丰：举办2026年退役军人和军属招聘会
为进一步做好退役军人和军属就业服务工作，拓宽就业渠道，搭建就业平台，近日，吉林省辽源市东丰县退役军人事务局联合县就业服务局在东丰县世纪广场组织开展2026年退役军人和军属招聘会，活动现场氛围热烈、秩序井然。
此次招聘会立足退役军人和军属就业需求与企业用工实际，通过前期“访企拓岗”，广泛对接县域内各重点企业、单位，筛选出涵盖智慧农业、钢铁、食品、袜业、农业等领域的7家企业，岗位涵盖普工、技术工（制冷工、电工等）、管理岗、后勤岗及生产岗等多个领域的优质岗位70余个，实现了人岗需求的精准匹配。
活动现场，工作人员面对面宣讲与细致解读，发放企业招聘手册，耐心解答求职人员关于岗位要求、薪资待遇、政策兑现等方面的疑问。求职者手持招聘手册，结合自身服役经历、技能特长与职业规划，与企业招聘负责人深入沟通，详细了解工作环境、晋升通道、福利待遇等关键信息。
“这次招聘会办得非常及时、非常实用。我们对就业方向和市场需求不太了解，通过退役军人、军属招聘会帮我们清晰了解市场用工需求，明确技能提升方向，为今后就业创业提供了有力支持。”现场一位退役军人求职者说。
以需求为导向，做好退役军人、军属就业创业服务，是东丰县扎实推进拥军优抚工作的重要举措。东丰县退役军人事务局将持续深化与各部门的协同联动，常态化开展政策宣传、教育培训、岗位推介等活动，以更精细的服务、更丰富的载体，助力退役军人、军属高质量就业，切实增强他们的获得感、幸福感和荣誉感。"
黑龙江：举办2026年全省退役军人事务统计数据会审培训班,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535413.html,2026-03-27,"黑龙江：举办2026年全省退役军人事务统计数据会审培训班
3月17日至20日，黑龙江省退役军人事务厅在哈尔滨举办2026年全省退役军人事务统计数据会审培训班，全面提升全省退役军人事务统计工作质效，确保年度数据真实、准确、完整。各市（地）退役军人事务局承担统计工作科室负责同志及业务骨干参加培训。
本次培训聚焦数据审核规范化建设，围绕年度统计数据会审和软件操作方法进行系统讲解，采取逐一审核、分组研讨的方式，对各市（地）上报的统计数据进行全面核验。通过面对面业务指导、点对点问题反馈，参训人员在实际操作中加深对指标口径、审核逻辑的理解，进一步提升数据审核的规范性和精准度。
培训期间，各地统计工作人员还围绕优化审核流程、提升数据质量等内容开展深入研讨，分享经验做法，交流工作心得，形成了互学互鉴、共同提升的良好氛围。
参训人员一致表示，此次培训内容务实、形式灵活，既提升了业务能力，也强化了责任意识。下一步，将以更高标准、更严要求扎实推进统计工作，确保数据经得起检验，为全省退役军人工作高质量发展提供坚实支撑。"
云南：老年大学省军休中心分校正式揭牌,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535411.html,2026-03-27,"云南：老年大学省军休中心分校正式揭牌
为切实落实军休干部“两个待遇”，丰富军休学员精神文化生活，进一步提升军休干部组织归属感、政治荣誉感和生活幸福感，近日，云南老年大学省军休中心分校举行揭牌仪式。云南省委老干部局副局长杨云、云南省退役军人事务厅副厅长肖海出席活动并为聘任教师代表颁发聘书。
云南老年大学省军休中心分校的成立，是新时代军休服务保障工作与老年教育事业深度融合的重要成果，是用心用情服务军休干部、推动军休事业高质量发展的重要举措，也是为广大军休干部办实事、做好事、解难事的生动实践，对强化军休干部思想政治引领、满足精神文化需求、实现价值再创造、凝聚军休干部力量具有重要意义。
云南老年大学省军休中心分校以“服务军休干部、传承红色精神、丰富晚年生活”为工作目标，严格遵循“政治引领、求知怡情、康乐有为、服务社会”的办学宗旨，着力打造军休干部“学习园地、精神家园、奉献平台”，切实满足军休干部求知、求健、求乐、求为的多样化精神文化需求。
下一步，云南老年大学省军休中心分校将致力于高标准、实作风、优服务，全力保障好、服务好军休干部。招生实行“自愿报名+组织推荐”的机制，首批开设8个教学班、招收400余名学员，与云南老年大学资源共享、活动共办、品牌共建、服务共融，切实让军休干部享受便捷优质的老年教育资源，在轻松愉悦的学习氛围中充实自我、陶冶情操，让他们获得感、幸福感、荣誉感成色更足。"
贵州：省委常委会召开会议研究部署退役军人等工作,https://www.mva.gov.cn/xinwen/dfdt/202603/t20260326_535408.html,2026-03-27,"贵州：省委常委会召开会议研究部署退役军人等工作
3月20日，贵州省委常委会召开会议，学习贯彻习近平总书记重要讲话精神，研究党的建设、金融、退役军人、降低全社会物流成本等工作。省委书记徐麟主持会议并讲话。省委副书记、省长李炳军，省政协主席赵永清，省委副书记马汉成等参加。
会议强调，要深学笃用习近平总书记关于党的建设的重要思想和考察贵州重要讲话精神，坚持以党的政治建设为统领，扎实开展树立和践行正确政绩观学习教育，以换届为契机加强领导班子和干部队伍建设，深化围绕基层基础“强双基”，驰而不息正风肃纪反腐，巩固发展风清气正的政治生态。要紧扣“十五五”开局之年目标任务，找准党建工作切入点、着力点，更好以高质量党建引领高质量发展。
会议要求，要持续深入学习贯彻习近平总书记关于金融工作的重要论述，全面加强金融领域党的领导和党的建设，强化改革创新，着力做好提升金融服务实体经济质效、防范化解金融风险等重点工作，以金融高质量发展保障和助推全省走新路展风采。
会议强调，要认真贯彻习近平总书记关于退役军人工作的重要论述，进一步强化思想政治引领，抓紧抓实接收安置、服务保障、关爱帮扶、抚恤优待、权益维护等工作，引导支持退役军人在“四新”、“四化”、乡村振兴、国防教育等领域充分发挥优势作用。
会议要求，要增强战略思维和系统观念，强化改革赋能和创新驱动，精准对接构建贵州特色现代化产业体系所需，高水平谋划建设物流基础设施体系，完善多式联运等物流综合服务，在物流数智化绿色化发展、低空物流应用场景拓展等方面持续突破，更好服务支撑全省高质量发展。
会前，省委常委会进行专题学习，小黄鸭德盈控股国际有限公司董事会主席许夏林就“以IP赋能贵州文旅产业高质量发展”作了讲解。"
