title,url,replies,views
Trump's deportation push gets boost from border state with massive plot of land,https://debatepolitics.com/threads/trumps-deportation-push-gets-boost-from-border-state-with-massive-plot-of-land.555605/,524,4000
Trump's transition team turns to Project 2025 after disavowing it during the campaign,https://debatepolitics.com/threads/trumps-transition-team-turns-to-project-2025-after-disavowing-it-during-the-campaign.556006/,27,190
Trump accused of opening door to financial corruption as transition donors kept secret,https://debatepolitics.com/threads/trump-accused-of-opening-door-to-financial-corruption-as-transition-donors-kept-secret.556027/,7,73
A List of Predictions from the Left:,https://debatepolitics.com/threads/a-list-of-predictions-from-the-left.555113/,62,512
"Joe Rogan explains why liberal media 'hemorrhaging' audiences: 'You're not accurate, you're delusional'",https://debatepolitics.com/threads/joe-rogan-explains-why-liberal-media-hemorrhaging-audiences-youre-not-accurate-youre-delusional.555868/,86,676
So now the election side show has been replaced by the cabinet sideshow continuing to suck the air out of Democracy with irrelevance.,https://debatepolitics.com/threads/so-now-the-election-side-show-has-been-replaced-by-the-cabinet-sideshow-continuing-to-suck-the-air-out-of-democracy-with-irrelevance.555710/,4,132
Brooke Rollins: Secretary of Agriculture,https://debatepolitics.com/threads/brooke-rollins-secretary-of-agriculture.555923/,0,92
"Kamala campaign raised over a billion, but is now $20 million in debt",https://debatepolitics.com/threads/kamala-campaign-raised-over-a-billion-but-is-now-20-million-in-debt.554613/,64,603
Trump lied incessantly and still won. Should others do the same? The decline of MSM opens the door for it.,https://debatepolitics.com/threads/trump-lied-incessantly-and-still-won-should-others-do-the-same-the-decline-of-msm-opens-the-door-for-it.555873/,37,369
THE PAIN CREATING A NEW COALITION FOR TRUMP,https://debatepolitics.com/threads/the-pain-creating-a-new-coalition-for-trump.555880/,61,557
Trump has now fallen below 50% US-wide.,https://debatepolitics.com/threads/trump-has-now-fallen-below-50-us-wide.555342/,185,2000
Trump said he'd end the war in Ukraine even before he took office. Performance is about outcomes. He's got 2 months to avoid campaign fraud.,https://debatepolitics.com/threads/trump-said-hed-end-the-war-in-ukraine-even-before-he-took-office-performance-is-about-outcomes-hes-got-2-months-to-avoid-campaign-fraud.555764/,18,228
Muslims who voted for Trump upset by his pro-Israel cabinet picks,https://debatepolitics.com/threads/muslims-who-voted-for-trump-upset-by-his-pro-israel-cabinet-picks.555340/,50,618
Biden backer and NYT columnist admits Trump could be historic president with a Middle East deal,https://debatepolitics.com/threads/biden-backer-and-nyt-columnist-admits-trump-could-be-historic-president-with-a-middle-east-deal.555714/,36,337
Charlotte Went Red,https://debatepolitics.com/threads/charlotte-went-red.555677/,19,283
What would the gipper think of you lot?,https://debatepolitics.com/threads/what-would-the-gipper-think-of-you-lot.555703/,77,415
Italian village offers $1 homes to Americans upset by the US election result,https://debatepolitics.com/threads/italian-village-offers-1-homes-to-americans-upset-by-the-us-election-result.555580/,43,539
How are you feeling 2 weeks after election day?,https://debatepolitics.com/threads/how-are-you-feeling-2-weeks-after-election-day.555567/,271,2000
The very first female Chief of Staff in U.S. History - and the DEMOCRATS...,https://debatepolitics.com/threads/the-very-first-female-chief-of-staff-in-u-s-history-and-the-democrats.555273/,87,850
GOP House members talking about Trump & Speaker Johnson forcing the Senate to adjourn to allow recess appointments,https://debatepolitics.com/threads/gop-house-members-talking-about-trump-speaker-johnson-forcing-the-senate-to-adjourn-to-allow-recess-appointments.555598/,14,189
Trump is obviously a racist,https://debatepolitics.com/threads/trump-is-obviously-a-racist.554802/,358,3000
Majority of voters refused to cast a ballot for Trump,https://debatepolitics.com/threads/majority-of-voters-refused-to-cast-a-ballot-for-trump.555612/,23,220
"Nearly every state's share of electoral votes doesn't match their share of US population, thus elections can fail to reflect the will of the people.",https://debatepolitics.com/threads/nearly-every-states-share-of-electoral-votes-doesnt-match-their-share-of-us-population-thus-elections-can-fail-to-reflect-the-will-of-the-people.555086/,82,928
Liberalism Is Yesterday's News,https://debatepolitics.com/threads/liberalism-is-yesterdays-news.555454/,144,1000
Litigation Coalition Forming to Confront Trump Administration Policies,https://debatepolitics.com/threads/litigation-coalition-forming-to-confront-trump-administration-policies.555493/,42,282
Trump Sends Market INTO PANIC with his DISASTER WEEK,https://debatepolitics.com/threads/trump-sends-market-into-panic-with-his-disaster-week.555441/,34,404
"Matt Gaetz as AG, Pete Hegseth as DS...at least facism is funny under DJT haha",https://debatepolitics.com/threads/matt-gaetz-as-ag-pete-hegseth-as-ds-at-least-facism-is-funny-under-djt-haha.555245/,79,418
Where's JD?,https://debatepolitics.com/threads/wheres-jd.555213/,9,203
Is anyone actually going to leave the country?,https://debatepolitics.com/threads/is-anyone-actually-going-to-leave-the-country.554876/,78,1000
Trump releases powerful post-election video.,https://debatepolitics.com/threads/trump-releases-powerful-post-election-video.555427/,4,122
Trump supporters rip Chicago mayor to his face just before City Council rejects his tax hike,https://debatepolitics.com/threads/trump-supporters-rip-chicago-mayor-to-his-face-just-before-city-council-rejects-his-tax-hike.555376/,53,504
Going monk on MAGA,https://debatepolitics.com/threads/going-monk-on-maga.555089/,41,469
When Hillary And Harris Lost,https://debatepolitics.com/threads/when-hillary-and-harris-lost.555328/,22,255
Trump is expected to tap RFK for the head of HHS,https://debatepolitics.com/threads/trump-is-expected-to-tap-rfk-for-the-head-of-hhs.555232/,140,1000
Vance is a jerk,https://debatepolitics.com/threads/vance-is-a-jerk.554171/,112,1000
Trump Economics,https://debatepolitics.com/threads/trump-economics.555223/,24,283
Trump's Wife Denies Biden's Wife,https://debatepolitics.com/threads/trumps-wife-denies-bidens-wife.555057/,73,871
Trump picks Doug Burgum for Interior secretary,https://debatepolitics.com/threads/trump-picks-doug-burgum-for-interior-secretary.555293/,27,241
Leftist Trump-opposing women in the US will now go on a 4-year sex strike to oppose Trump even more.,https://debatepolitics.com/threads/leftist-trump-opposing-women-in-the-us-will-now-go-on-a-4-year-sex-strike-to-oppose-trump-even-more.554734/,93,990
Who is REALLY at fault?,https://debatepolitics.com/threads/who-is-really-at-fault.555212/,34,355
Doug Collins To VA,https://debatepolitics.com/threads/doug-collins-to-va.555247/,4,77
Why this term will be different from his first,https://debatepolitics.com/threads/why-this-term-will-be-different-from-his-first.554888/,58,627
Brace for ****ing impact,https://debatepolitics.com/threads/brace-for-ing-impact.555071/,81,872
Why wasnt Trump's insurrection a bigger factor in the presidential election?,https://debatepolitics.com/threads/why-wasnt-trumps-insurrection-a-bigger-factor-in-the-presidential-election.554510/,290,2000
79% of Jews voted for Kamala Harris in US presidential race,https://debatepolitics.com/threads/79-of-jews-voted-for-kamala-harris-in-us-presidential-race.554974/,24,192
Why I got my prediction wrong,https://debatepolitics.com/threads/why-i-got-my-prediction-wrong.554830/,229,2000
"Oprah was paid $1,000,000 to deliver her speech at the Harris campaign",https://debatepolitics.com/threads/oprah-was-paid-1-000-000-to-deliver-her-speech-at-the-harris-campaign.554892/,41,373
AOC Admits Kamala was a Fake!,https://debatepolitics.com/threads/aoc-admits-kamala-was-a-fake.555087/,54,483
Republicans WIN the House Majority,https://debatepolitics.com/threads/republicans-win-the-house-majority.555186/,25,229
2.7 Million Ballots were Rejected,https://debatepolitics.com/threads/2-7-million-ballots-were-rejected.554994/,87,1000
Putin Makes TOTAL FOOL of Trump in UNDER 48 Hours,https://debatepolitics.com/threads/putin-makes-total-fool-of-trump-in-under-48-hours.555035/,78,852
"The cases against Trump were about his crimes, not about elections.",https://debatepolitics.com/threads/the-cases-against-trump-were-about-his-crimes-not-about-elections.554797/,61,626
(YouTube - CBS - 60 Minutes)   This Wisconsin county has backed the winning presidential candidate for the last 6 elections,https://debatepolitics.com/threads/youtube-cbs-60-minutes-this-wisconsin-county-has-backed-the-winning-presidential-candidate-for-the-last-6-elections.553406/,8,166
AOC voters,https://debatepolitics.com/threads/aoc-voters.555078/,9,115
Biggest Political Comeback In US History?,https://debatepolitics.com/threads/biggest-political-comeback-in-us-history.554958/,72,778
"An advice from me (a foreigner from Austria, Europe) to you Americans for tonight and afterwards.",https://debatepolitics.com/threads/an-advice-from-me-a-foreigner-from-austria-europe-to-you-americans-for-tonight-and-afterwards.554206/,92,881
15 Million (+) voters didn't show up,https://debatepolitics.com/threads/15-million-voters-didnt-show-up.554528/,257,2000
So....just when WILL we elect a female president?,https://debatepolitics.com/threads/so-just-when-will-we-elect-a-female-president.554805/,86,759
"After Trump’s Victory, There Can Be No Unity Without A Reckoning",https://debatepolitics.com/threads/after-trump%E2%80%99s-victory-there-can-be-no-unity-without-a-reckoning.554757/,190,1000
Why the wait?,https://debatepolitics.com/threads/why-the-wait.554942/,8,118
Elon presents an interesting case,https://debatepolitics.com/threads/elon-presents-an-interesting-case.554920/,13,137
What Will Dem Losers Do After Losing Elections?,https://debatepolitics.com/threads/what-will-dem-losers-do-after-losing-elections.554890/,13,150
Voters punished Biden for problems he didn't cause and effectively addressed,https://debatepolitics.com/threads/voters-punished-biden-for-problems-he-didnt-cause-and-effectively-addressed.554913/,24,165
"Republican efforts targeting Harris's record on Israel, antisemitism failed, survey says",https://debatepolitics.com/threads/republican-efforts-targeting-harriss-record-on-israel-antisemitism-failed-survey-says.554839/,52,344
Trump starts the ball rolling.....,https://debatepolitics.com/threads/trump-starts-the-ball-rolling.554852/,32,265
America has a problem,https://debatepolitics.com/threads/america-has-a-problem.554838/,22,218
Trump Won Walz's Home County in the 2024 Election,https://debatepolitics.com/threads/trump-won-walzs-home-county-in-the-2024-election.554713/,45,447
The Department of Justice and Jack Smith immediately end their cases against Donald Trump,https://debatepolitics.com/threads/the-department-of-justice-and-jack-smith-immediately-end-their-cases-against-donald-trump.554413/,68,537
Democrats on illegal immigration are now reaping what they sowed.,https://debatepolitics.com/threads/democrats-on-illegal-immigration-are-now-reaping-what-they-sowed.554815/,4,143
"Are ""meltdowns"" something US-specific ?",https://debatepolitics.com/threads/are-meltdowns-something-us-specific.554729/,36,282
Starlink and election systems,https://debatepolitics.com/threads/starlink-and-election-systems.554843/,7,118
Maybe Joe Biden Was Right: He Could've Beaten Donald Trump,https://debatepolitics.com/threads/maybe-joe-biden-was-right-he-couldve-beaten-donald-trump.554794/,19,163
At Last Some Introspection,https://debatepolitics.com/threads/at-last-some-introspection.554791/,22,158
"55% Of Voters Believe Trump's Views Are Too Extreme, According To The Exit Polls",https://debatepolitics.com/threads/55-of-voters-believe-trumps-views-are-too-extreme-according-to-the-exit-polls.554294/,7,103
First order of business?  Overturning 22nd amendment for Republicans only or ensuring a 6-3 SCOTUS majority for the next 25 years?,https://debatepolitics.com/threads/first-order-of-business-overturning-22nd-amendment-for-republicans-only-or-ensuring-a-6-3-scotus-majority-for-the-next-25-years.554820/,15,222
Democrats had bet on women showing up in force. They didn’t,https://debatepolitics.com/threads/democrats-had-bet-on-women-showing-up-in-force-they-didn%E2%80%99t.554778/,31,303
Arizona was now officially called for Trump by all media.,https://debatepolitics.com/threads/arizona-was-now-officially-called-for-trump-by-all-media.554814/,1,57
The peaceful transition of power.... to Hitler and fascism,https://debatepolitics.com/threads/the-peaceful-transition-of-power-to-hitler-and-fascism.554568/,121,787
Post Your Election Map,https://debatepolitics.com/threads/post-your-election-map.554132/,31,291
2024's Trump win was the first since 1976 (Jimmy Carter) in which all 50 states + DC had a swing to the winning candidate.,https://debatepolitics.com/threads/2024s-trump-win-was-the-first-since-1976-jimmy-carter-in-which-all-50-states-dc-had-a-swing-to-the-winning-candidate.554812/,5,87
Trump Sucks.,https://debatepolitics.com/threads/trump-sucks.554462/,84,665
Our democracy needs to be updated to bring it up to 21st century capabilities & standards as follows:,https://debatepolitics.com/threads/our-democracy-needs-to-be-updated-to-bring-it-up-to-21st-century-capabilities-standards-as-follows.554585/,49,363
Trump?  How Can The Election Even Be Close!!!,https://debatepolitics.com/threads/trump-how-can-the-election-even-be-close.554182/,76,748
Nevada has now been officially called by all media for Trump.,https://debatepolitics.com/threads/nevada-has-now-been-officially-called-by-all-media-for-trump.554731/,24,196
The instant lame duck,https://debatepolitics.com/threads/the-instant-lame-duck.554540/,122,842
‘Huge surge’ in U.S. abortion pill demand after Trump’s election win,https://debatepolitics.com/threads/%E2%80%98huge-surge%E2%80%99-in-u-s-abortion-pill-demand-after-trump%E2%80%99s-election-win.554735/,53,387
Robert Reich: The Lesson,https://debatepolitics.com/threads/robert-reich-the-lesson.554700/,38,353
My final prediction as a European: Trump wins.,https://debatepolitics.com/threads/my-final-prediction-as-a-european-trump-wins.553851/,24,218
Trump has now surpassed his national vote total from 2020.,https://debatepolitics.com/threads/trump-has-now-surpassed-his-national-vote-total-from-2020.554732/,11,137
Biden does not appear to be in a grieving mood :),https://debatepolitics.com/threads/biden-does-not-appear-to-be-in-a-grieving-mood.554659/,65,459
Penn has equipment problems in two counties.,https://debatepolitics.com/threads/penn-has-equipment-problems-in-two-counties.554240/,20,193
Harris did surprisingly well in the swing states not in the West. But performed bad in the most populous states.,https://debatepolitics.com/threads/harris-did-surprisingly-well-in-the-swing-states-not-in-the-west-but-performed-bad-in-the-most-populous-states.554727/,1,78
Exit Poll suggests Harris got 79% of the Jewish vote,https://debatepolitics.com/threads/exit-poll-suggests-harris-got-79-of-the-jewish-vote.554726/,3,78
Trump Won And This Sucks For Some People,https://debatepolitics.com/threads/trump-won-and-this-sucks-for-some-people.554523/,80,581
Pelosi throws both Biden and Harris under the bus after Trump’s sweeping election win,https://debatepolitics.com/threads/pelosi-throws-both-biden-and-harris-under-the-bus-after-trump%E2%80%99s-sweeping-election-win.554708/,13,124
Remember Allan Lichtman predicting a Harris win?,https://debatepolitics.com/threads/remember-allan-lichtman-predicting-a-harris-win.554472/,36,415
Voting for the lest worst option,https://debatepolitics.com/threads/voting-for-the-lest-worst-option.554110/,96,706
Matt Walsh Does it again...,https://debatepolitics.com/threads/matt-walsh-does-it-again.554570/,8,93
The Pundits Hall of Shame,https://debatepolitics.com/threads/the-pundits-hall-of-shame.554676/,3,63
Dems was there ANY silver lining to this shit show?,https://debatepolitics.com/threads/dems-was-there-any-silver-lining-to-this-shit-show.554572/,76,511
Make America Healthy Again,https://debatepolitics.com/threads/make-america-healthy-again.551835/,269,2000
Trump ally floated as possible AG has harsh warning for Letitia James: 'We will put your fat a-- in prison',https://debatepolitics.com/threads/trump-ally-floated-as-possible-ag-has-harsh-warning-for-letitia-james-we-will-put-your-fat-a-in-prison.554617/,18,167
The Shattering of the Democratic Coalition,https://debatepolitics.com/threads/the-shattering-of-the-democratic-coalition.554663/,1,54
Pollster forgot to be woke,https://debatepolitics.com/threads/pollster-forgot-to-be-woke.554661/,0,36
President Who?,https://debatepolitics.com/threads/president-who.554658/,5,75
Our economy is the envy of the world,https://debatepolitics.com/threads/our-economy-is-the-envy-of-the-world.552688/,269,2000
🤣This made me laugh. 🤣,https://debatepolitics.com/threads/%F0%9F%A4%A3this-made-me-laugh-%F0%9F%A4%A3.554637/,9,81
"Harris Promised Unity and Country Healing, Trump Will Deliver Much more Hatred and Divisiveness.",https://debatepolitics.com/threads/harris-promised-unity-and-country-healing-trump-will-deliver-much-more-hatred-and-divisiveness.554614/,9,86
I'm Angry That I Have To Fear For The Future Of Democracy In This Country....Because Of Trump,https://debatepolitics.com/threads/im-angry-that-i-have-to-fear-for-the-future-of-democracy-in-this-country-because-of-trump.554256/,146,1000
"RFK Jr. says Trump would push to remove fluoride from drinking water. ‘It’s possible,’ Trump says",https://debatepolitics.com/threads/rfk-jr-says-trump-would-push-to-remove-fluoride-from-drinking-water-%E2%80%98it%E2%80%99s-possible-%E2%80%99-trump-says.554064/,108,704
Harris’s Speech,https://debatepolitics.com/threads/harris%E2%80%99s-speech.554433/,165,976
C H R I S T I A N S,https://debatepolitics.com/threads/c-h-r-i-s-t-i-a-n-s.552467/,210,2000
Every incumbent party in a developed country lost vote share this year,https://debatepolitics.com/threads/every-incumbent-party-in-a-developed-country-lost-vote-share-this-year.554616/,3,140
Who shouldn't be in Trump's administration?,https://debatepolitics.com/threads/who-shouldnt-be-in-trumps-administration.554575/,23,159
The fall of american civilization.,https://debatepolitics.com/threads/the-fall-of-american-civilization.554386/,134,910
"The example set by voters: autocracy is all the rage, bigotry is back, crime pays. lies work, a puppet democracy prevails over a more perfect union.",https://debatepolitics.com/threads/the-example-set-by-voters-autocracy-is-all-the-rage-bigotry-is-back-crime-pays-lies-work-a-puppet-democracy-prevails-over-a-more-perfect-union.554459/,4,113
Trump is ALREADY claiming cheating in Philly. Would he be doing that if he was winning?,https://debatepolitics.com/threads/trump-is-already-claiming-cheating-in-philly-would-he-be-doing-that-if-he-was-winning.554291/,64,595
(The Hill) Michael Moore: ‘Trump is toast’,https://debatepolitics.com/threads/the-hill-michael-moore-%E2%80%98trump-is-toast%E2%80%99.554192/,59,565
Video illustrating the issue for Democrats of anti-genocide voters,https://debatepolitics.com/threads/video-illustrating-the-issue-for-democrats-of-anti-genocide-voters.553933/,8,120
You Scared The Hell Out Of People!,https://debatepolitics.com/threads/you-scared-the-hell-out-of-people.554553/,8,78
Biden’s Speech,https://debatepolitics.com/threads/biden%E2%80%99s-speech.554531/,7,83
Progressives will Blame the Harris Campaign,https://debatepolitics.com/threads/progressives-will-blame-the-harris-campaign.554381/,95,732
How accurate were the polls?,https://debatepolitics.com/threads/how-accurate-were-the-polls.554446/,6,89
Exit Polling Breakdown of POTUS Electorate,https://debatepolitics.com/threads/exit-polling-breakdown-of-potus-electorate.554454/,31,250
On DEMOCRACY,https://debatepolitics.com/threads/on-democracy.554499/,15,84
One Reason Why Democrats Should Be Optimistic About The Early Voting Results So Far -- Women Are Voting In MASSIVE Numbers,https://debatepolitics.com/threads/one-reason-why-democrats-should-be-optimistic-about-the-early-voting-results-so-far-women-are-voting-in-massive-numbers.553709/,158,1000
"China officially 'doesn't care' about Trump win; unofficially, experts say Beijing is rattled",https://debatepolitics.com/threads/china-officially-doesnt-care-about-trump-win-unofficially-experts-say-beijing-is-rattled.554479/,5,129
CNN writes article they should have written BEFORE the election - but couldn't.,https://debatepolitics.com/threads/cnn-writes-article-they-should-have-written-before-the-election-but-couldnt.554405/,10,114
